state,dataset,recovery_unit,core_area,popn_stream,metric,source,year,value
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2008,390
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2009,446
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2010,197
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2011,319
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2012,414
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2013,311
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2014,223
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2015,310
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2016,143
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2017,220
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2018,409
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2019,213
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1985,0.2652324542022546
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1986,NA
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1987,0.1084010840108401
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1988,NA
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1989,0.001
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1990,0.001
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1991,0.001
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1992,2.650248926866896
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1993,0.24705193129461706
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1994,0.3152288292388199
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1995,0.2405446958686699
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1996,0.21577935435703932
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1997,0.3488704359105424
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1998,0.6217625769936961
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,1999,0.33144296931421685
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2000,0.05759827442415487
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2001,0.39134270696493967
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2002,0.5678929547348956
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2003,0.001
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2004,0.49157820303417255
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2005,0.1279623792429151
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2006,0.1715430628495047
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2007,0.5155110487126561
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2008,0.13929947367815515
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2009,0.11995994503253588
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2010,0.49482697974433026
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2011,0.04909743462033921
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2012,0.04314882894078255
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2013,0.020358130044681004
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2014,0.32466038041318696
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2015,0.03171510197039585
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2016,0.0227060425774628
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2017,0.1316911307272846
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2018,0.001
ID,3,Upper Snake,Little-Lower Salmon River,Multiple,abundance,snorkel,2019,0.0453449891512157
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,1998,7
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,1999,17
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,2000,16
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,2001,15
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,2002,4
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,2003,8
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,2004,9
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,2005,3
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,2006,3
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,2007,3
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,2008,3
ID,4,Mid Columbia,Lochsa River,n/a (Fish Creek),abundance,screw_trap,2009,19
