state,core_area,popn_stream,source,n_yrs
ID,Couer d'Alene,Medicine Creek,redd_counts,29
ID,Couer d'Alene,St Joe River,redd_counts,29
ID,Couer d'Alene,Wisdom Cr,redd_counts,29
ID,Kootenai,Callahan,redd_counts,18
ID,LPO,Lightning Creek,redd_counts,30
ID,LPO,Johnson Cr,redd_counts,30
ID,LPO,Strong Creek,redd_counts,13
ID,LPO,Trestle Creek,redd_counts,30
ID,LPO,Granite Creek,redd_counts,30
ID,LPO,North Fork Gold Creek,redd_counts,30
ID,LPO,MFK East River,redd_counts,20
ID,LPO,Pack River,redd_counts,30
ID,LPO,Gold Creek (South),redd_counts,30
ID,Priest Lakes,Upper Priest River,redd_counts,28
ID,Priest Lakes,Hughes Cr,redd_counts,28
ID,Priest Lakes,Gold Creek,redd_counts,29
ID,North Fork Clearwater,Upper North Fork,redd_counts,16
ID,Lemhi River,Hayden Creek (Bear Valley Cr),redd_counts,15
ID,Lemhi River,Hayden Creek,redd_counts,11
ID,Little-Lower Salmon River,Rapid River,weir,29
ID,South Fork Salmon River,Johnson Cr,weir,20
ID,Upper Salmon,EFK Salmon River,weir,17
ID,Upper Salmon,Redfish Lake,fishery_catch_rates,24
ID,Upper Salmon,Redfish Lake,weir,13
ID,Upper Salmon,Fishhook Creek,redd_counts,23
ID,Upper Salmon,Alpine Creek,redd_counts,23
ID,Upper Salmon,4th of July,redd_counts,18
ID,Upper Salmon,Multiple,weir,12
MT,CANADA,North Fork Flathead River,redd_counts,17
MT,CANADA,Wigwam River (Canada),redd_counts,26
MT,Big Salmon Lake,Big Salmon (simple),redd_counts,11
MT,Bitterroot River,Meadow Creek,redd_counts,27
MT,Bitterroot River,Daly Creek,redd_counts,22
MT,Blackfoot River,Belmont Creek,redd_counts,13
MT,Blackfoot River,Gold Creek,redd_counts,20
MT,Blackfoot River,Landers Fork (Copper Creek Lower),redd_counts,30
MT,Blackfoot River,Landers Fork (Copper Creek Upper),redd_counts,25
MT,Blackfoot River,Snowbank Creek (not a LP orCH),redd_counts,12
MT,Blackfoot River,Duham Creek (trib to Monture),redd_counts,18
MT,Blackfoot River,Monture Creek,redd_counts,30
MT,Blackfoot River,North Fork Blackfoot River,redd_counts,28
MT,Bowman,Bowman Creek,redd_counts,13
MT,Bull Lake,Keeler Creek,redd_counts,24
MT,Bull Lake,North Fork Keeler Creek,redd_counts,23
MT,Bull Lake,South Fork Keeler Creek,redd_counts,22
MT,Cerulean/Quartz Mid Lakes,Quartz Creek,redd_counts,17
MT,Clearwater,East Fork Clearwater,redd_counts,12
MT,Clearwater,Marshall Creek (upper),redd_counts,11
MT,Clearwater,West Fork Clearwater,redd_counts,14
MT,Clearwater,Morrell Creek,redd_counts,19
MT,Cyclone Lake,Cyclone Creek,redd_counts,25
MT,Flathead Lake,Bear Creek,redd_counts,11
MT,Flathead Lake,Big Creek,redd_counts,27
MT,Flathead Lake,Hallowat Creek,redd_counts,26
MT,Flathead Lake,Coal Creek (index),redd_counts,26
MT,Flathead Lake,Mathias Creek,redd_counts,12
MT,Flathead Lake,North Coal,redd_counts,13
MT,Flathead Lake,South Coal,redd_counts,17
MT,Flathead Lake,Granite Creek,redd_counts,29
MT,Flathead Lake,LodgePole Creek (trib to Morrison),redd_counts,29
MT,Flathead Lake,Morrison Creek,redd_counts,27
MT,Flathead Lake,Nyack Creek,redd_counts,14
MT,Flathead Lake,Ole Creek,redd_counts,29
MT,Flathead Lake,Park Creek,redd_counts,16
MT,Flathead Lake,DollyVarden Creek,redd_counts,11
MT,Flathead Lake,Schafer Creek,redd_counts,11
MT,Flathead Lake,Trail Creek (index),redd_counts,30
MT,Flathead Lake,Whale Creek (index),redd_counts,27
MT,Flathead Lake,Whale Creek (Shorty Creek),redd_counts,10
MT,Harrison Lake,Harrison Lake (simple),redd_counts,11
MT,Holland Lake,Holland Creek (simple),redd_counts,30
