state,dataset,recovery_unit,core_area,popn_stream,source,first_year,last_year
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,weir,1973,2019
ID,7,Upper Snake,South Fork Salmon River,Johnson Cr,weir,2000,2019
ID,16,Upper Snake,Upper Salmon,EFK Salmon River,weir,1984,2014
ID,17,Upper Snake,Upper Salmon,Redfish Lake,fishery_catch_rates,1996,2019
ID,18,Upper Snake,Upper Salmon,Redfish Lake,weir,2007,2019
ID,23,COLR Headwaters,LPO,Lightning Creek,redd_counts,1984,2020
ID,24,COLR Headwaters,LPO,Johnson Cr,redd_counts,1984,2020
ID,25,COLR Headwaters,LPO,Strong Creek,redd_counts,2008,2020
ID,26,COLR Headwaters,LPO,Trestle Creek,redd_counts,1984,2020
ID,27,COLR Headwaters,LPO,Granite Creek,redd_counts,1984,2020
ID,28,COLR Headwaters,LPO,North Fork Gold Creek,redd_counts,1984,2020
ID,29,COLR Headwaters,LPO,MFK East River,redd_counts,2001,2020
ID,30,COLR Headwaters,LPO,Pack River,redd_counts,1984,2020
ID,31,COLR Headwaters,Kootenai,Callahan,redd_counts,2002,2020
ID,32,Mid Columbia,North Fork Clearwater,Upper North Fork,redd_counts,2001,2020
ID,33,COLR Headwaters,Couer d'Alene,Medicine Creek,redd_counts,1992,2020
ID,34,COLR Headwaters,Couer d'Alene,St Joe River,redd_counts,1992,2020
ID,35,COLR Headwaters,Couer d'Alene,Wisdom Cr,redd_counts,1992,2020
ID,36,COLR Headwaters,Priest Lakes,Upper Priest River,redd_counts,1993,2020
ID,37,COLR Headwaters,Priest Lakes,Hughes Cr,redd_counts,1992,2019
ID,38,COLR Headwaters,Priest Lakes,Gold Creek,redd_counts,1985,2020
ID,38,COLR Headwaters,Priest Lakes,Hughes Cr,redd_counts,2020,2020
ID,39,Upper Snake,Upper Salmon,Fishhook Creek,redd_counts,1998,2020
ID,40,Upper Snake,Upper Salmon,Alpine Creek,redd_counts,1998,2020
ID,41,Upper Snake,Upper Salmon,4th of July,redd_counts,2003,2020
ID,54,COLR Headwaters,LPO,Gold Creek (South),redd_counts,1984,2020
MT,1,Col Head,Akokala Lake,Akokala Creek,redd_counts,1979,2020
MT,2,Col Head,Big Salmon Lake,Big Salmon (simple),redd_counts,1979,2020
MT,6,Col Head,Bitterroot River,Meadow Creek,redd_counts,1979,2020
MT,7,Col Head,Bitterroot River,East Fork Bitterroot River,redd_counts,1979,2020
MT,12,Col Head,Bitterroot River,Daly Creek,redd_counts,1979,2020
MT,17,Col Head,Blackfoot River,Belmont Creek,redd_counts,1979,2020
MT,19,Col Head,Blackfoot River,Gold Creek,redd_counts,1979,2020
MT,20,Col Head,Blackfoot River,Landers Fork (Copper Creek Lower),redd_counts,1979,2020
MT,21,Col Head,Blackfoot River,Landers Fork (Copper Creek Upper),redd_counts,1979,2020
MT,22,Col Head,Blackfoot River,Snowbank Creek (not a LP orCH),redd_counts,1979,2020
MT,23,Col Head,Blackfoot River,Duham Creek (trib to Monture),redd_counts,1979,2020
MT,24,Col Head,Blackfoot River,Monture Creek,redd_counts,1979,2020
MT,25,Col Head,Blackfoot River,North Fork Blackfoot River,redd_counts,1979,2020
MT,26,Col Head,Bowman,Bowman Creek,redd_counts,1979,2020
MT,27,Col Head,Bull Lake,Keeler Creek,redd_counts,1979,2020
MT,28,Col Head,Bull Lake,North Fork Keeler Creek,redd_counts,1979,2020
MT,29,Col Head,Bull Lake,South Fork Keeler Creek,redd_counts,1979,2020
MT,30,CANADA,CANADA,Cabin Creek,redd_counts,1979,2020
