"","CI_lo_90","mean","CI_up_90","trend"
"ID: COLR Headwaters: Couer d'Alene",-0.1031,-0.0356,0.032,"0"
"ID: COLR Headwaters: Kootenai",-0.225,-0.121,-0.0171,"-"
"ID: COLR Headwaters: LPO",-0.0569,0.007,0.0708,"0"
"ID: COLR Headwaters: Priest Lakes",-0.0622,0.0061,0.0744,"0"
"ID: Mid Columbia: North Fork Clearwater",-0.1878,-0.0869,0.014,"0"
"ID: Upper Snake: Lemhi River",-0.1402,-0.0225,0.0953,"0"
"ID: Upper Snake: Little-Lower Salmon River",-0.0115,0.0613,0.1341,"0"
"ID: Upper Snake: South Fork Salmon River",-0.063,0.0336,0.1302,"0"
"ID: Upper Snake: Upper Salmon",-0.0492,0.0185,0.0862,"0"
"MT: CANADA: CANADA",0.0135,0.0865,0.1594,"+"
"MT: Col Head: Big Salmon Lake",-0.1511,-0.0651,0.0209,"0"
"MT: Col Head: Bitterroot River",-0.0751,-0.002,0.0711,"0"
"MT: Col Head: Blackfoot River",-0.0866,-0.0216,0.0435,"0"
"MT: Col Head: Bowman",-0.0359,0.1018,0.2395,"0"
"MT: Col Head: Bull Lake",-0.1483,-0.073,0.0023,"0"
"MT: Col Head: Cerulean/Quartz Mid Lakes",-0.08,0.0278,0.1356,"0"
"MT: Col Head: Clearwater",-0.1369,-0.0439,0.0491,"0"
"MT: Col Head: Cyclone Lake",-0.126,-0.0465,0.033,"0"
"MT: Col Head: Flathead Lake",-0.0797,-0.0166,0.0466,"0"
"MT: Col Head: Harrison Lake",-0.2072,-0.0785,0.0501,"0"
"MT: Col Head: Holland Lake",-0.121,-0.0493,0.0224,"0"
"MT: Col Head: Hungry Horse Reservoir",-0.0508,0.0161,0.083,"0"
"MT: Col Head: Kootenai River",-0.0888,-0.024,0.0408,"0"
"MT: Col Head: Lake Koocanusa",-0.1012,-0.0321,0.0369,"0"
"MT: Col Head: Lake Pend Oreille",-0.0804,-0.0145,0.0513,"0"
"MT: Col Head: Lindbergh Lake",-0.144,-0.0583,0.0275,"0"
"MT: Col Head: Logging",-0.2338,-0.1197,-0.0056,"-"
"MT: Col Head: Lower Quartz Lake",-0.1359,-0.0182,0.0996,"0"
"MT: Col Head: Middle Clark Fork River",-0.11,-0.0277,0.0546,"0"
"MT: Col Head: Rock Creek",-0.1023,-0.0351,0.0321,"0"
"MT: Col Head: Swan Lake",-0.0832,-0.0197,0.0438,"0"
"MT: Col Head: Upper Clark Fork River",-0.0674,0.0078,0.0829,"0"
"MT: Col Head: Upper Stillwater Lake",-0.008,0.0658,0.1397,"0"
"MT: Col Head: Upper Whitefish Lake",0.0115,0.0909,0.1703,"+"
"MT: Col Head: West Fork Bitterroot River",-0.0743,0.0056,0.0855,"0"
"MT: Col Head: Whitefish Lake",-0.0378,0.0375,0.1127,"0"
"MT: St. Mary: St. Mary River",-0.1059,-0.0218,0.0624,"0"
"OR: Coastal: Hood River",-0.1567,-0.0296,0.0975,"0"
"OR: Coastal: Lower Deschutes River",0.0035,0.0728,0.142,"+"
"OR: Coastal: Odell Lake",-0.0541,0.0233,0.1007,"0"
"OR: Coastal: Upper Willamette River",0.0091,0.0819,0.1548,"+"
"OR: Mid-Columbia: Imnaha River",-0.1389,-0.0509,0.0371,"0"
"OR: Mid-Columbia: Lookingglass/Wenaha",-0.0486,0.0409,0.1303,"0"
"OR: Mid-Columbia: Pine-Indian-Wildhorse Creeks",-0.1741,-0.0836,0.0069,"0"
"OR: Mid-Columbia: Umatilla River",-0.1267,-0.0494,0.0279,"0"
"OR: Mid-Columbia: Upper Grande Ronde",-0.0383,0.0444,0.1271,"0"
"OR: Mid-Columbia: Walla Walla River",-0.0859,-0.0151,0.0556,"0"
"OR: Mid-Columbia: Wallowa/Minam",-0.0611,0.0249,0.1108,"0"
"WA: Coastal: Chester Morse Lake",-0.1571,-0.0611,0.035,"0"
"WA: Coastal: Lewis River",0.0126,0.0825,0.1524,"+"
"WA: Coastal: Lower Skagit River",-0.0868,-0.0166,0.0537,"0"
"WA: Coastal: Puyallup River",-0.0226,0.0446,0.1119,"0"
"WA: Coastal: Skokomish River",-0.0893,-0.0055,0.0782,"0"
"WA: Coastal: Snohomish and Skykomish Rivers",-0.0787,-0.0062,0.0663,"0"
"WA: Coastal: Stillaguamish River",-0.252,-0.1447,-0.0375,"-"
"WA: Mid Columbia: Asotin Creek",-0.139,-0.0277,0.0836,"0"
"WA: Mid Columbia: Entiat River",-0.0404,0.0305,0.1014,"0"
"WA: Mid Columbia: Methow River",-0.0699,0.0029,0.0757,"0"
"WA: Mid Columbia: Touchet River",-0.0975,-0.0261,0.0452,"0"
"WA: Mid Columbia: Tucannon River",-0.0721,0.0016,0.0754,"0"
"WA: Mid Columbia: Wenatchee River",-0.0805,-0.0142,0.0522,"0"
"WA: Mid Columbia: Yakima River",-0.0796,-0.0128,0.054,"0"
