"","CI_lo_90","mean","CI_up_90","trend"
"ID: Mid Columbia: Lochsa River",-0.056,0.0067,0.0695,"0"
"ID: Mid Columbia: Selway River",-0.1758,-0.0878,1e-04,"0"
"ID: Mid Columbia: South Fork Clearwater",-0.0265,0.0362,0.0988,"0"
"ID: Upper Snake: Lemhi River",-0.0032,0.0526,0.1085,"0"
"ID: Upper Snake: Little Lost",-0.0346,0.0836,0.2018,"0"
"ID: Upper Snake: Little-Lower Salmon River",-0.1432,-0.0846,-0.0261,"-"
"ID: Upper Snake: Mid Salmon - Panther",-0.14,-0.0499,0.0402,"0"
"ID: Upper Snake: Middle Fork Salmon River",-0.0981,-0.04,0.018,"0"
"ID: Upper Snake: Pahsimeroi",-0.0199,0.0911,0.202,"0"
"ID: Upper Snake: South Fork Salmon River",0.0576,0.1628,0.268,"+"
"ID: Upper Snake: Upper Salmon",0.0468,0.104,0.1613,"+"
"ID: Upper Snake: Weiser River",-0.2138,-0.0841,0.0455,"0"
"OR: Coastal: Odell Lake",-0.0637,0.0651,0.1939,"0"
"WA: Coastal: Dungeness",-0.1678,-0.0841,-4e-04,"-"
"WA: Coastal: Lower Skagit River",-0.1705,-0.1074,-0.0443,"-"
"WA: Mid Columbia: Asotin Creek",-0.1867,-0.1229,-0.0591,"-"
"WA: Mid Columbia: Entiat River",-0.3436,-0.2126,-0.0815,"-"
"WA: Mid Columbia: Tucannon River",-0.1221,-0.0688,-0.0154,"-"
"WA: Mid Columbia: Wenatchee River",-0.1084,-0.0496,0.0091,"0"
