"","CI_lo_90","mean","CI_up_90","trend"
"ID: Mid Columbia: Lochsa River",-0.0245,0.0054,0.0353,"0"
"ID: Mid Columbia: Selway River",-0.0737,-0.0222,0.0293,"0"
"ID: Mid Columbia: South Fork Clearwater",0.0023,0.0292,0.0561,"+"
"ID: Upper Snake: Lemhi River",9e-04,0.049,0.0971,"+"
"ID: Upper Snake: Little Lost",0.0047,0.0748,0.1448,"+"
"ID: Upper Snake: Little-Lower Salmon River",-0.0733,-0.0443,-0.0154,"-"
"ID: Upper Snake: Mid Salmon - Panther",-0.0839,-0.0234,0.0371,"0"
"ID: Upper Snake: Middle Fork Salmon River",-0.0243,0.0037,0.0318,"0"
"ID: Upper Snake: Pahsimeroi",-0.0119,0.0869,0.1856,"0"
"ID: Upper Snake: South Fork Salmon River",0.0518,0.0864,0.121,"+"
"ID: Upper Snake: Upper Salmon",0.0393,0.0653,0.0913,"+"
"ID: Upper Snake: Weiser River",-0.1496,-0.038,0.0737,"0"
"OR: Coastal: Odell Lake",0.0368,0.0972,0.1577,"+"
"WA: Coastal: Dungeness",-0.1426,-0.0642,0.0143,"0"
"WA: Coastal: Lower Skagit River",-0.1049,-0.0712,-0.0376,"-"
"WA: Mid Columbia: Asotin Creek",-0.1784,-0.1197,-0.0609,"-"
"WA: Mid Columbia: Entiat River",-0.3331,-0.2023,-0.0714,"-"
"WA: Mid Columbia: Tucannon River",-0.048,-0.0122,0.0236,"0"
"WA: Mid Columbia: Wenatchee River",-0.0533,-0.0185,0.0162,"0"
