state,core_area,popn_stream,source,n_yrs
ID,Couer d'Alene,Medicine Creek,redd counts,29
ID,Couer d'Alene,St Joe River,redd counts,29
ID,Couer d'Alene,Wisdom Cr,redd counts,29
ID,Kootenai,Callahan,redd counts,18
ID,LPO,Lightning Creek,redd counts,30
ID,LPO,Johnson Cr,redd counts,30
ID,LPO,Strong Creek,redd counts,13
ID,LPO,Trestle Creek,redd counts,30
ID,LPO,Granite Creek,redd counts,30
ID,LPO,North Fork Gold Creek,redd counts,30
ID,LPO,MFK East River,redd counts,20
ID,LPO,Pack River,redd counts,30
ID,LPO,Gold Creek (South),redd counts,30
ID,Priest Lakes,Upper Priest River,redd counts,28
ID,Priest Lakes,Hughes Cr,redd counts,28
ID,Priest Lakes,Gold Creek,redd counts,29
ID,North Fork Clearwater,Upper North Fork,redd counts,16
ID,Lemhi River,Hayden Creek (Bear Valley Cr),redd counts,15
ID,Lemhi River,Hayden Creek,redd counts,11
ID,Little-Lower Salmon River,Rapid River,weir,29
ID,South Fork Salmon River,Johnson Cr,weir,20
ID,Upper Salmon,EFK Salmon River,weir,17
ID,Upper Salmon,Redfish Lake,fishery catch_rates,24
ID,Upper Salmon,Redfish Lake,weir,13
ID,Upper Salmon,Fishhook Creek,redd counts,23
ID,Upper Salmon,Alpine Creek,redd counts,23
ID,Upper Salmon,4th of July,redd counts,18
ID,Upper Salmon,Multiple,weir,12
MT,CANADA,North Fork Flathead River,redd counts,17
MT,CANADA,Wigwam River (Canada),redd counts,26
MT,Big Salmon Lake,Big Salmon (simple),redd counts,11
MT,Bitterroot River,Meadow Creek,redd counts,27
MT,Bitterroot River,Daly Creek,redd counts,22
MT,Blackfoot River,Belmont Creek,redd counts,13
MT,Blackfoot River,Gold Creek,redd counts,20
MT,Blackfoot River,Landers Fork (Copper Creek Lower),redd counts,30
MT,Blackfoot River,Landers Fork (Copper Creek Upper),redd counts,25
MT,Blackfoot River,Snowbank Creek (not a LP orCH),redd counts,12
MT,Blackfoot River,Duham Creek (trib to Monture),redd counts,18
MT,Blackfoot River,Monture Creek,redd counts,30
MT,Blackfoot River,North Fork Blackfoot River,redd counts,28
MT,Bowman,Bowman Creek,redd counts,13
MT,Bull Lake,Keeler Creek,redd counts,24
MT,Bull Lake,North Fork Keeler Creek,redd counts,23
MT,Bull Lake,South Fork Keeler Creek,redd counts,22
MT,Cerulean/Quartz Mid Lakes,Quartz Creek,redd counts,17
MT,Clearwater,East Fork Clearwater,redd counts,12
MT,Clearwater,Marshall Creek (upper),redd counts,11
MT,Clearwater,West Fork Clearwater,redd counts,14
MT,Clearwater,Morrell Creek,redd counts,19
MT,Cyclone Lake,Cyclone Creek,redd counts,25
MT,Flathead Lake,Bear Creek,redd counts,11
MT,Flathead Lake,Big Creek,redd counts,27
MT,Flathead Lake,Hallowat Creek,redd counts,26
MT,Flathead Lake,Coal Creek (index),redd counts,26
MT,Flathead Lake,Mathias Creek,redd counts,12
MT,Flathead Lake,North Coal,redd counts,13
MT,Flathead Lake,South Coal,redd counts,17
MT,Flathead Lake,Granite Creek,redd counts,29
MT,Flathead Lake,LodgePole Creek (trib to Morrison),redd counts,29
MT,Flathead Lake,Morrison Creek,redd counts,27
MT,Flathead Lake,Nyack Creek,redd counts,14
MT,Flathead Lake,Ole Creek,redd counts,29
MT,Flathead Lake,Park Creek,redd counts,16
MT,Flathead Lake,DollyVarden Creek,redd counts,11
MT,Flathead Lake,Schafer Creek,redd counts,11
MT,Flathead Lake,Trail Creek (index),redd counts,30
MT,Flathead Lake,Whale Creek (index),redd counts,27
MT,Flathead Lake,Whale Creek (Shorty Creek),redd counts,10
MT,Harrison Lake,Harrison Lake (simple),redd counts,11
MT,Holland Lake,Holland Creek (simple),redd counts,30
MT,Hungry Horse Reservoir,Gordon Creek,redd counts,12
MT,Hungry Horse Reservoir,Little Salmon Creek,redd counts,12
