state,core_area,popn_stream,source,n_yrs
ID,Lochsa River,n/a (Fish Creek),screw trap,22
ID,Lochsa River,Colt Killed Creek,screw trap,16
ID,Lochsa River,Crooked Fork Creek,screw trap,22
ID,Selway River,SEL Multiple,snorkel,17
ID,South Fork Clearwater,Crooked River,screw trap,22
ID,South Fork Clearwater,Multiple,snorkel,16
ID,South Fork Clearwater,American River,screw trap,11
ID,South Fork Clearwater,Red River,screw trap,17
ID,Lemhi River,Hayden Cr,screw trap,14
ID,Lemhi River,Lower Lemhi River,screw trap,13
ID,Lemhi River,Upper Lemhi River,screw trap,16
ID,Little Lost,LL Multiple,electrofishing,12
ID,Little-Lower Salmon River,Rapid River,screw trap,12
ID,Little-Lower Salmon River,Multiple,snorkel,29
ID,Mid Salmon - Panther,MSP Multiple,electrofishing,18
ID,Middle Fork Salmon River,Big Cr,screw trap,13
ID,Middle Fork Salmon River,MFK Multiple,snorkel,17
ID,Middle Fork Salmon River,Marsh Creek (upper trap),screw trap,22
ID,Middle Fork Salmon River,Marsh Creek lower trap),screw trap,10
ID,Pahsimeroi,Multiple,electrofishing,13
ID,South Fork Salmon River,Lake Creek,screw trap,17
ID,South Fork Salmon River,Sesesh River,screw trap,17
ID,South Fork Salmon River,upper South Fork Salmon River,screw trap,23
ID,Upper Salmon,Upper Salmon (multiple),screw trap,22
ID,Upper Salmon,East Fork Salmon River,screw trap,19
ID,Upper Salmon,West Fork Yankee Fork,screw trap,16
ID,Upper Salmon,Pahsimeroi,screw trap,20
ID,Weiser River,WR Multiple,snorkel,10
OR,Odell Lake,Trapper Creek,snorkel,19
WA,Dungeness,Dungeness,trap count,16
WA,Asotin Creek,Asotin Creek Bull Trout,trap count,17
